bf_bugid,bf_bugid,bf_headline,bf_attribute,bf_description,bf_symptoms,bf_conditions,bf_workarounds,bf_release_note,bf_duplicateofbug,message,text
CSCvm99675,CSCvm99675,LLDP -VLAN ID and lldp class type is not showing correct information with show lldp entry * command.,NOOIB,"when any class-1,2,3,4 cisco devices are connected to IR829,it is showing below output for class-1 device:IR800#sh vlan-switch VLAN Name                             Status    Ports---- -------------------------------- --------- -------------------------------1    default                          active    Gi1, Gi3, Gi4, Wl02    VLAN0002                         active    10   VLAN0010                         active    Gi2555  VLAN0555                         active    IR800#show power inline          Available: 30.800(w)  Used:  3.600(w)  Remaining: 27.200(w)PowerSupply   SlotNum.   Maximum   Allocated       Status-----------   --------   -------   ---------       ------EXT-PS           0        30.800     3.600          PS GOODInterface   Config   Device   Powered    PowerAllocated   State ---------   ------   ------   -------    --------------   -----  Gi1         auto     Unknown  Off        0.000 Watts      UNKNOWN        Gi2         auto     IEEE-1   On         3.600 Watts      PHONE          Gi3         auto     Unknown  Off        0.000 Watts      NOT_PHONE      Gi4         auto     Unknown  Off        0.000 Watts      UNKNOWN       IR800#show lldp entry *Local Intf: Gi2Chassis id: 10.115.2.178Port Description: SW PORTSystem Description: Cisco IP Phone 7841, V1, sip78xx.11-0-1-11.loadsTime remaining: 128 secondsManagement Addresses:    IP: 10.115.2.178Auto Negotiation - supported, enabledMedia Attachment Unit type: 30Vlan ID: - not advertisedMED Information:    Serial number: WZP203409R8    Manufacturer: Cisco Systems, Inc.    Model: CP-7841    Capabilities: NP, PD, IN    Device type: Endpoint Class IIIfrom above command output, show power inline is showing IEEE-1 that is class-1 device but it is not showing with ""show lldp entry *"" and in ""show lldp neighbors detail"" it is showing (everytime) ""Device type: Endpoint Class III"" for any class device.Regards,Samir",Missing,Missing,Missing,Missing,nobug,"LLDP -VLAN ID and lldp class type is not showing correct information with show lldp entry * command.NOOIBwhen any class-1,2,3,4 cisco devices are connected to IR829,it is showing below output for class-1 device:IR800#sh vlan-switch VLAN Name                             Status    Ports---- -------------------------------- --------- -------------------------------1    default                          active    Gi1, Gi3, Gi4, Wl02    VLAN0002                         active    10   VLAN0010                         active    Gi2555  VLAN0555                         active    IR800#show power inline          Available: 30.800(w)  Used:  3.600(w)  Remaining: 27.200(w)PowerSupply   SlotNum.   Maximum   Allocated       Status-----------   --------   -------   ---------       ------EXT-PS           0        30.800     3.600          PS GOODInterface   Config   Device   Powered    PowerAllocated   State ---------   ------   ------   -------    --------------   -----  Gi1         auto     Unknown  Off        0.000 Watts      UNKNOWN        Gi2         auto     IEEE-1   On         3.600 Watts      PHONE          Gi3         auto     Unknown  Off        0.000 Watts      NOT_PHONE      Gi4         auto     Unknown  Off        0.000 Watts      UNKNOWN       IR800#show lldp entry *Local Intf: Gi2Chassis id: 10.115.2.178Port Description: SW PORTSystem Description: Cisco IP Phone 7841, V1, sip78xx.11-0-1-11.loadsTime remaining: 128 secondsManagement Addresses:    IP: 10.115.2.178Auto Negotiation - supported, enabledMedia Attachment Unit type: 30Vlan ID: - not advertisedMED Information:    Serial number: WZP203409R8    Manufacturer: Cisco Systems, Inc.    Model: CP-7841    Capabilities: NP, PD, IN    Device type: Endpoint Class IIIfrom above command output, show power inline is showing IEEE-1 that is class-1 device but it is not showing with ""show lldp entry *"" and in ""show lldp neighbors detail"" it is showing (everytime) ""Device type: Endpoint Class III"" for any class device.Regards,SamirMissingMissingMissingMissingnobug",lldp vlan id lldp class type show correct information show lldp entry command nooibwhen class cisco devices connect ir show output class device ir sh vlan switch vlan name status port default active gi gi gi wl vlan active vlan active gi vlan active ir show power inline available use remain powersupply slotnum maximum allocate status ext ps ps goodinterface config device power powerallocated state gi auto unknown watts unknown gi auto ieee watts phone gi auto unknown watts not_phone gi auto unknown watts unknown ir show lldp entry local intf gi chassis id port description sw portsystem description cisco ip phone sip xx loadstime remain address ip auto negotiation support enabledmedia attachment unit type vlan id advertisedmed information serial number wzp manufacturer cisco systems inc model cp capabilities np pd device type endpoint class iiifrom command output show power inline show ieee class device show show lldp entry show lldp neighbor detail show everytime device type endpoint class iii class device regard
CSCvn02979,CSCvn02979,Notification:NOR Flash wear out issue due to excessive write operation by bootloader,-NOOIB,"NOR Flash has a spec of 100K P/E cycle => 27 P/E cycles per day for 10yrs product lifetime.Please check your S/W application to see if any excessive P/E cycles on the NOR Flash. Booting or License Check should be Read Only If your system makes NOR Flash operate at a high temperature (ex, close to some hot device or the temp inside the case is high), you may consider save more margin due to high temp fail easier.No limitation for Read Only OperationSimilarly for NAND and embedded/managed NAND Flash modules. Given the different endurance and PE cycles specified by the NAND suppliers across technology node and device types, the datasheets specs must be verified for either SLC and MLC/pSLC NAND",Missing,Missing,Missing,Missing,nobug,"Notification:NOR Flash wear out issue due to excessive write operation by bootloader-NOOIBNOR Flash has a spec of 100K P/E cycle => 27 P/E cycles per day for 10yrs product lifetime.Please check your S/W application to see if any excessive P/E cycles on the NOR Flash. Booting or License Check should be Read Only If your system makes NOR Flash operate at a high temperature (ex, close to some hot device or the temp inside the case is high), you may consider save more margin due to high temp fail easier.No limitation for Read Only OperationSimilarly for NAND and embedded/managed NAND Flash modules. Given the different endurance and PE cycles specified by the NAND suppliers across technology node and device types, the datasheets specs must be verified for either SLC and MLC/pSLC NANDMissingMissingMissingMissingnobug",notification flash wear issue due excessive write operation bootloader nooibnor flash spec cycle cycle per day yrs product lifetime please check application see excessive cycle flash boot license check read system make flash operate high temperature ex close hot device temp inside case high may consider save margin due high temp fail easier limitation read nand embed manage nand flash modules give different endurance pe cycle specify nand suppliers across technology node device type datasheets specs must verify either slc mlc pslc
CSCvn11437,CSCvn11437,Sparrow smart-lic: SPARROW_PROD_TAG_ID should be CYAN,-NOOIB cloned-from-CSCvm15606,"SW_ID is a SL parameter and should be linked with CYAN attribute: SMART_LIC_SWID.Replace #define with a CYAN variable:18  #define SPARROW_PROD_TAG_ID \19      ""regid.2018-04.com.cisco.IR1101,1.0_e40b8e7c-fd51-418c-a981-a49697dd08f5""Example:http://wwwin-opengrok.cisco.com/polaris_dev-xe/search?q=CHASSIS_ATTRS_SMART_LIC_SWID&defs=&refs=&path=&type=",Missing,Missing,Missing,Missing,nobug,"Sparrow smart-lic: SPARROW_PROD_TAG_ID should be CYAN-NOOIB cloned-from-CSCvm15606SW_ID is a SL parameter and should be linked with CYAN attribute: SMART_LIC_SWID.Replace #define with a CYAN variable:18  #define SPARROW_PROD_TAG_ID \19      ""regid.2018-04.com.cisco.IR1101,1.0_e40b8e7c-fd51-418c-a981-a49697dd08f5""Example:http://wwwin-opengrok.cisco.com/polaris_dev-xe/search?q=CHASSIS_ATTRS_SMART_LIC_SWID&defs=&refs=&path=&type=MissingMissingMissingMissingnobug",sparrow smart lic cyan nooib clone cscvm sw_id sl parameter link cyan attribute smart_lic_swid replace define cyan variable define regid com cisco ir fd dd example url
CSCvn36469,CSCvn36469,Boot statement check before reload needed on IR1100,Missing,CSCvh65895 ENH: Boot statement check before reload - Rally F25571needs to be implemented for the IR1100,Missing,Missing,Missing,Missing,nobug,Boot statement check before reload needed on IR1100MissingCSCvh65895 ENH: Boot statement check before reload - Rally F25571needs to be implemented for the IR1100MissingMissingMissingMissingnobug,boot statement check reload need ir missingcscvh enh boot statement check reload rally need implement ir
CSCvn36786,CSCvn36786,sh inventory doesnt show the msata details,snowfinch -NOOIB -SS xe1611-feat,"With the latest DTH)O 1.7 (1116), dont see the msata in the show inventory. Router#dir msata:Directory of msata:/   11  drwx            16384  Nov 10 2018 01:05:09 +00:00  lost+found31706836992 bytes total (30050152448 bytes free)Router#sh inv+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++INFO: Please use ""show license UDI"" to get serial number for licensing.+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++NAME: ""Chassis"", DESCR: ""IR1101 Base Chassis""PID: IR1101-K9         , VID: V00  , SN: FCW222500AYNAME: ""Module 2 - Expansion Module"", DESCR: ""IR1100 expansion module with Pluggable slot and SFP""PID: IRM-1100-SPMI       , VID: V00  , SN: FCW22380H0FNAME: ""Module 0 - Mother Board"", DESCR: ""Cisco IR1101 motherboard""PID: IR1101-K9         , VID: V00  , SN: FOC22224U18NAME: ""module subslot 0/0"", DESCR: ""IR1101-ES-6S""PID: IR1101-ES-6S      , VID: V01  , SN:",Missing,Missing,Missing,Missing,nobug,"sh inventory doesnt show the msata detailssnowfinch -NOOIB -SS xe1611-featWith the latest DTH)O 1.7 (1116), dont see the msata in the show inventory. Router#dir msata:Directory of msata:/   11  drwx            16384  Nov 10 2018 01:05:09 +00:00  lost+found31706836992 bytes total (30050152448 bytes free)Router#sh inv+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++INFO: Please use ""show license UDI"" to get serial number for licensing.+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++NAME: ""Chassis"", DESCR: ""IR1101 Base Chassis""PID: IR1101-K9         , VID: V00  , SN: FCW222500AYNAME: ""Module 2 - Expansion Module"", DESCR: ""IR1100 expansion module with Pluggable slot and SFP""PID: IRM-1100-SPMI       , VID: V00  , SN: FCW22380H0FNAME: ""Module 0 - Mother Board"", DESCR: ""Cisco IR1101 motherboard""PID: IR1101-K9         , VID: V00  , SN: FOC22224U18NAME: ""module subslot 0/0"", DESCR: ""IR1101-ES-6S""PID: IR1101-ES-6S      , VID: V01  , SN:MissingMissingMissingMissingnobug",sh inventory doesnt show msata nooib ss xe featwith latest dth dont see msata show inventory router dir msata directory msata drwx nov phone
CSCvn44622,CSCvn44622,MAC flaps noticed in IE4000 switch acting as QuadBox (Single),iot-winter19-features SA-2.3.2 iot-cvd iot-cvd-ca -OIB,"IE4000 acting as QuadBox reports MAC flaps intermittently. Steps : 1) Have two HSR rings attached to a IE4000 configured as HSR-HSR QuadBox.2) Send SampleValue traffic through the ring.3) Wait for MAC flap errors to be reported. The errors are thrown at random. Refer attachments for more details on the configuration and logs. Also noticing duplicate packets being received at Ixia ports.Version :Cisco IOS Software, IE4000  Software (IE4000-UNIVERSALK9-M), Version 15.2(7.0.67a)E, TEST ENGINEERING ESTG_WEEKLY BUILD, synced to  V152_7_0_58_ETechnical Support: http://www.cisco.com/techsupportCopyright (c) 1986-2018 by Cisco Systems, Inc.Compiled Mon 19-Nov-18 03:36 by smaddasa",Missing,Missing,Missing,Missing,CSCvn24349,"MAC flaps noticed in IE4000 switch acting as QuadBox (Single)iot-winter19-features SA-2.3.2 iot-cvd iot-cvd-ca -OIBIE4000 acting as QuadBox reports MAC flaps intermittently. Steps : 1) Have two HSR rings attached to a IE4000 configured as HSR-HSR QuadBox.2) Send SampleValue traffic through the ring.3) Wait for MAC flap errors to be reported. The errors are thrown at random. Refer attachments for more details on the configuration and logs. Also noticing duplicate packets being received at Ixia ports.Version :Cisco IOS Software, IE4000  Software (IE4000-UNIVERSALK9-M), Version 15.2(7.0.67a)E, TEST ENGINEERING ESTG_WEEKLY BUILD, synced to  V152_7_0_58_ETechnical Support: http://www.cisco.com/techsupportCopyright (c) 1986-2018 by Cisco Systems, Inc.Compiled Mon 19-Nov-18 03:36 by smaddasaMissingMissingMissingMissingCSCvn24349",mac flap notice ie switch act quadbox single iot winter feature sa iot cvd iot cvd ca oibie act quadbox report mac flap intermittently step two hsr ring attach ie configure hsr hsr quadbox send samplevalue traffic ring wait mac flap errors report errors throw random refer attachments detail configuration log also notice duplicate packets receive ixia port version cisco ios software ie software ie universalk version test engineer estg_weekly build sync support url cisco systems inc compile mon nov
CSCvn48047,CSCvn48047,Multiple Vulnerabilities in openssl,ciam api-gen CIAM-fn1cxsAjbuekL CVE-2018-0734 CIAM-fnwcxsAjbuekL CVE-2018-5407,Filed from CIAM. See the CIAM Note enclosure for details.,Missing,Missing,Missing,Missing,nobug,Multiple Vulnerabilities in opensslciam api-gen CIAM-fn1cxsAjbuekL CVE-2018-0734 CIAM-fnwcxsAjbuekL CVE-2018-5407Filed from CIAM. See the CIAM Note enclosure for details.MissingMissingMissingMissingnobug,multiple vulnerabilities opensslciam api gen ciam fn cxsajbuekl cve ciam fnwcxsajbuekl cve file ciam see ciam note enclosure detail
CSCvn53931,CSCvn53931,IE5000: PTP - 10G Uplinks Not able to get timestamp with retries,iot-winter19 -OIB,"IE5000: PTP - 10G Uplinks Not able to get timestamp with retries @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@Dec  4 20:37:16.007 MVT:  Not able to get timestamp with retries:TenGigabitEthernet1/25Dec  4 20:37:18.000 MVT: ptp_get_timestamp_with_retries(): egress TenGigabitEthernet1/25, msg type: 0, attempt: 0Dec  4 20:37:18.000 MVT: ptp_get_timestamp_with_retries(): egress TenGigabitEthernet1/25, msg type: 0, attempt: 1Dec  4 20:37:18.000 MVT: ptp_get_timestamp_with_retries(): egress TenGigabitEthernet1/25, msg type: 0, attempt: 2",Missing,Missing,Missing,Missing,nobug,"IE5000: PTP - 10G Uplinks Not able to get timestamp with retriesiot-winter19 -OIBIE5000: PTP - 10G Uplinks Not able to get timestamp with retries @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@Dec  4 20:37:16.007 MVT:  Not able to get timestamp with retries:TenGigabitEthernet1/25Dec  4 20:37:18.000 MVT: ptp_get_timestamp_with_retries(): egress TenGigabitEthernet1/25, msg type: 0, attempt: 0Dec  4 20:37:18.000 MVT: ptp_get_timestamp_with_retries(): egress TenGigabitEthernet1/25, msg type: 0, attempt: 1Dec  4 20:37:18.000 MVT: ptp_get_timestamp_with_retries(): egress TenGigabitEthernet1/25, msg type: 0, attempt: 2MissingMissingMissingMissingnobug",ie ptp uplinks able get timestamp retriesiot winter oibie ptp uplinks able get timestamp retry dec mvt able get timestamp retry dec mvt egress msg type attempt dec mvt egress msg type attempt dec mvt egress msg type attempt
CSCvn65191,CSCvn65191,CIP: Unable to attach alarm profile to combo ports,iot-winter19 iot-winter19-oib,"In S5400 platform below error is observed while attaching alarm profile to port and also while making port default configurations.Node does not exist 1016Could not attach profileNote: Issue is observed in 15.2(07.01.23i)E and 15.2(07.00.72a)E onwards, functionality is working fine in 15.2(07.00.67a)E and 15.2(07.00.26a).Steps to reproduce:- create alarm profile- attach link fault to alarm profile - Now try to attach this alarm profile in three different scenarios as below- alarm will get attached to port only when connected with sfp cable. if RJ45 cable is used for connection not able to connect alarm profile to port 1. connect any combo port with sfp cable, make sure port is up and media type is at default state (media type is not configured for either RJ45 or sfp)Attached alarm profile to port, it will successfully attach the alarm to port.2. connect any combo port with RJ45 cable, make sure port is up and media type is at default state.Attach alarm profile to port, it will give below errorNode does not exist 1014Could not attach profile3.do not connect any combo port, make sure port is down, media type is not selectedattach alarm profile to port, it will give below errorNode does not exist 1016Could not attach profile",Missing,Missing,Missing,Missing,nobug,"CIP: Unable to attach alarm profile to combo portsiot-winter19 iot-winter19-oibIn S5400 platform below error is observed while attaching alarm profile to port and also while making port default configurations.Node does not exist 1016Could not attach profileNote: Issue is observed in 15.2(07.01.23i)E and 15.2(07.00.72a)E onwards, functionality is working fine in 15.2(07.00.67a)E and 15.2(07.00.26a).Steps to reproduce:- create alarm profile- attach link fault to alarm profile - Now try to attach this alarm profile in three different scenarios as below- alarm will get attached to port only when connected with sfp cable. if RJ45 cable is used for connection not able to connect alarm profile to port 1. connect any combo port with sfp cable, make sure port is up and media type is at default state (media type is not configured for either RJ45 or sfp)Attached alarm profile to port, it will successfully attach the alarm to port.2. connect any combo port with RJ45 cable, make sure port is up and media type is at default state.Attach alarm profile to port, it will give below errorNode does not exist 1014Could not attach profile3.do not connect any combo port, make sure port is down, media type is not selectedattach alarm profile to port, it will give below errorNode does not exist 1016Could not attach profileMissingMissingMissingMissingnobug",cip unable attach alarm profile combo portsiot winter iot winter oibin platform error observe attach alarm profile port also make port default configurations node exist could attach profilenote issue observe onwards functionality work fine step reproduce create alarm profile attach link fault alarm profile try attach alarm profile three different scenarios alarm get attach port connect sfp cable rj cable use connection able connect alarm profile port connect combo port sfp cable make sure port media type default state media type configure either rj sfp attach alarm profile port successfully attach alarm port connect combo port rj cable make sure port media type default state attach alarm profile port give errornode exist could attach profile connect combo port make sure port media type selectedattach alarm profile port give errornode exist could attach
CSCvn86197,CSCvn86197,Sparrow: Changing async0/2/0 to encapsulation arpa does not take effect.,snowfinch -NOOIB,"When encapsulation arpa is enabled under Sparrow's async0/2/0 interface, it does not take effect.   In fact, if I enable the debug async state, it shows "" Async0/2/0: Bad Encap 5F on line TTY0/2/0"".If we don't support this encapsulation type, please show the message ""Encapsulation not supported"" like we did for slip/ppp/bstun encapsulation types.IR1101-FCW2132TH3A(config-if)#encapsulation arpaIR1101-FCW2132TH3A(config-if)#Jan  8 22:22:11.312: Async0/2/0: Bad Encap 5F on line TTY0/2/0  interface Async0/2/0 no ip address encapsulation scadaendIR1101-FCW2132TH3A(config)#int async 0/2/0IR1101-FCW2132TH3A(config-if)#encapsulation ?  arpa        Standard Ethernet version 2.0  bstun       Block Serial tunneling (BSTUN)  ppp         Point-to-Point protocol  raw-tcp     Raw socket TCP  raw-udp     Raw socket UDP  relay-line  Relay between lines  scada       SCADA  slip        Serial Line IPIR1101-FCW2132TH3A(config-if)#encapsulation arpaIR1101-FCW2132TH3A(config-if)#Jan  8 22:22:11.312: Async0/2/0: Bad Encap 5F on line TTY0/2/0    <= (debug async state is enabled)IR1101-FCW2132TH3A#sh running-config interface async 0/2/0Building configuration...Current configuration : 64 bytes!interface Async0/2/0 no ip address encapsulation scada   <== still scadaend",Missing,Missing,Missing,Missing,nobug,"Sparrow: Changing async0/2/0 to encapsulation arpa does not take effect.snowfinch -NOOIBWhen encapsulation arpa is enabled under Sparrow's async0/2/0 interface, it does not take effect.   In fact, if I enable the debug async state, it shows "" Async0/2/0: Bad Encap 5F on line TTY0/2/0"".If we don't support this encapsulation type, please show the message ""Encapsulation not supported"" like we did for slip/ppp/bstun encapsulation types.IR1101-FCW2132TH3A(config-if)#encapsulation arpaIR1101-FCW2132TH3A(config-if)#Jan  8 22:22:11.312: Async0/2/0: Bad Encap 5F on line TTY0/2/0  interface Async0/2/0 no ip address encapsulation scadaendIR1101-FCW2132TH3A(config)#int async 0/2/0IR1101-FCW2132TH3A(config-if)#encapsulation ?  arpa        Standard Ethernet version 2.0  bstun       Block Serial tunneling (BSTUN)  ppp         Point-to-Point protocol  raw-tcp     Raw socket TCP  raw-udp     Raw socket UDP  relay-line  Relay between lines  scada       SCADA  slip        Serial Line IPIR1101-FCW2132TH3A(config-if)#encapsulation arpaIR1101-FCW2132TH3A(config-if)#Jan  8 22:22:11.312: Async0/2/0: Bad Encap 5F on line TTY0/2/0    <= (debug async state is enabled)IR1101-FCW2132TH3A#sh running-config interface async 0/2/0Building configuration...Current configuration : 64 bytes!interface Async0/2/0 no ip address encapsulation scada   <== still scadaendMissingMissingMissingMissingnobug",sparrow change async encapsulation arpa take effect snowfinch nooibwhen encapsulation arpa enable sparrow async interface take effect fact enable debug async state show async bad encap line tty support encapsulation type please show message encapsulation support like slip ppp bstun encapsulation type ir fcw th config encapsulation arpair fcw th config jan async bad encap line tty interface async ip address encapsulation scadaendir fcw th config int async ir fcw th config encapsulation arpa standard ethernet version bstun block serial tunnel bstun ppp point point protocol raw tcp raw socket tcp raw udp raw socket udp relay line relay line scada scada slip serial line ipir fcw th config encapsulation arpair fcw th config jan async bad encap line tty
CSCvo10080,CSCvo10080,"Petra: PRP enabled with portB connected only, portA will not up and can't ping",petra petra-OIB xe-iot-prp-16.12.1 petra-SS dtc-mf,in ie4k the bug is CSCvc99695. we haven't port this fix to petra yet.,Missing,Missing,Missing,Missing,nobug,"Petra: PRP enabled with portB connected only, portA will not up and can't pingpetra petra-OIB xe-iot-prp-16.12.1 petra-SS dtc-mfin ie4k the bug is CSCvc99695. we haven't port this fix to petra yet.MissingMissingMissingMissingnobug",petra prp enable portb connect porta pingpetra petra oib xe iot prp petra ss dtc mfin ie bug cscvc port fix petra yet
CSCvo21128,CSCvo21128,Placeholder for Petra/Hellcat bootloader upgrade to Xilinx 2018.3 toolchain,Missing,Placeholder for Petra/Hellcat bootloader upgrade to Xilinx 2018.3 toolchain,Missing,Missing,Missing,Missing,nobug,Placeholder for Petra/Hellcat bootloader upgrade to Xilinx 2018.3 toolchainMissingPlaceholder for Petra/Hellcat bootloader upgrade to Xilinx 2018.3 toolchainMissingMissingMissingMissingnobug,placeholder petra hellcat bootloader upgrade xilinx petra hellcat bootloader upgrade xilinx
CSCvo70890,CSCvo70890,"Lgx00219480:PTP sync fault event on slave, when active GM with GPS is reloaded",iot-summer19 -NOOIB iot-15.2(7)E1,"during the reload process when the primary grandmaster starts up, could seeing offsets of 37s and -18,000sreference bug : CSCvo25095For more details: please refer attached mail communication with RAS5410 as GM with GPS clock enabled. when Active GM reloaded and comes back up , could see SYNCHRONIZATION_FAULT_EVENT due to high offset.PTP GM with GPS, When Active GM is reloaded/power cycles, Backup GM will become the present Active-GM. Time sync will work fine. But when Old Active-GM comes back up ,  GM is sending time stamps before it get syncing to GPS, Due to which there will be high offset value , as the time stamp is with local device clock . it will take around 30 minutes for time to get Settle.",Missing,Missing,Missing,Missing,nobug,"Lgx00219480:PTP sync fault event on slave, when active GM with GPS is reloadediot-summer19 -NOOIB iot-15.2(7)E1during the reload process when the primary grandmaster starts up, could seeing offsets of 37s and -18,000sreference bug : CSCvo25095For more details: please refer attached mail communication with RAS5410 as GM with GPS clock enabled. when Active GM reloaded and comes back up , could see SYNCHRONIZATION_FAULT_EVENT due to high offset.PTP GM with GPS, When Active GM is reloaded/power cycles, Backup GM will become the present Active-GM. Time sync will work fine. But when Old Active-GM comes back up ,  GM is sending time stamps before it get syncing to GPS, Due to which there will be high offset value , as the time stamp is with local device clock . it will take around 30 minutes for time to get Settle.MissingMissingMissingMissingnobug",lgx ptp sync fault event slave active gm gps reloadediot summer nooib iot reload process primary grandmaster start could see offset sreference bug cscvo detail please refer attach mail communication ras gm gps clock enable active gm reload come back could see due high offset ptp gm gps active gm reload power cycle backup gm become present active gm time sync work fine old active gm come back gm send time stamp get sync gps due high offset value time stamp local device clock take around minutes time get settle
CSCvo84485,CSCvo84485,Enable IOX on Blackheart,Missing,Enable IOX on Blackheart,Missing,Missing,Missing,Missing,nobug,Enable IOX on BlackheartMissingEnable IOX on BlackheartMissingMissingMissingMissingnobug,enable iox iox
CSCvp21657,CSCvp21657,Config-register setting after reload does not match the configured value,sparrow-1612 blackheart-171,For example:(config)#config-register 0x2102Image: #show version.....Configuration register is 0x1821 (will be 0x2102 at next reload)AFTER RELOAD:#show version.....Configuration register is 0x3922   <=== not 0x2102,Missing,Missing,Missing,Missing,nobug,Config-register setting after reload does not match the configured valuesparrow-1612 blackheart-171For example:(config)#config-register 0x2102Image: #show version.....Configuration register is 0x1821 (will be 0x2102 at next reload)AFTER RELOAD:#show version.....Configuration register is 0x3922   <=== not 0x2102MissingMissingMissingMissingnobug,config register set reload match configure valuesparrow blackheart example config config register image show version configuration register next reload reload show version configuration register
CSCvp30293,CSCvp30293,IE4010 port comes up even if [speed nonegotiate] configured,tac-repro,IE4010 speed nonegotiate issue please refer to the Big Description,Missing,Missing,Missing,Missing,nobug,IE4010 port comes up even if [speed nonegotiate] configuredtac-reproIE4010 speed nonegotiate issue please refer to the Big DescriptionMissingMissingMissingMissingnobug,ie port come even speed nonegotiate configuredtac reproie speed nonegotiate issue please refer big
CSCvp33957,CSCvp33957,"Zeroization starts immediately without waiting for a manual trigger using ""declassify trigger""",blackheart-171,"In order to trigger zeroization, users need to configure the global config command ""service declassify erase-all"" or ""service declassify erase-nvram"", then trigger zeroization by executing the EXEC command ""declassify trigger"".  However, currently, the zeroization process starts immediately when configuring the global config command ""service declassify erase-all"" or ""service declassify erase-nvram"" WITHOUT waiting for users to trigger it using ""declassify trigger"".",Missing,Missing,Missing,Missing,CSCvo92711,"Zeroization starts immediately without waiting for a manual trigger using ""declassify trigger""blackheart-171In order to trigger zeroization, users need to configure the global config command ""service declassify erase-all"" or ""service declassify erase-nvram"", then trigger zeroization by executing the EXEC command ""declassify trigger"".  However, currently, the zeroization process starts immediately when configuring the global config command ""service declassify erase-all"" or ""service declassify erase-nvram"" WITHOUT waiting for users to trigger it using ""declassify trigger"".MissingMissingMissingMissingCSCvo92711",zeroization start immediately without wait manual trigger use declassify trigger blackheart order trigger zeroization users configure global config command service declassify erase service declassify erase nvram trigger zeroization execute exec command declassify trigger however currently zeroization process start immediately configure global config command service declassify erase service declassify erase nvram without wait users trigger use declassify trigger
CSCvp44038,CSCvp44038,Not possible to access IOx application console through ioxclient or other methods,-TS,"Unlike other IOx-enabled platforms, it does not seem possible to access the console of a running application/container on the IC3000 platform. This greatly reduces the possibility to troubleshoot.",Missing,Missing,Missing,Missing,nobug,"Not possible to access IOx application console through ioxclient or other methods-TSUnlike other IOx-enabled platforms, it does not seem possible to access the console of a running application/container on the IC3000 platform. This greatly reduces the possibility to troubleshoot.MissingMissingMissingMissingnobug",possible access iox application console ioxclient methods tsunlike iox enable platforms seem possible access console run application container ic platform greatly reduce possibility troubleshoot
CSCvp47451,CSCvp47451,IR800: Secure Boot bypass via VDS,Missing,"This issue is critical. It is a secure boot bypass and allows the ability to run arbitrary code on the IR800.  See PoC enclosure.At boot time, Rommon2 delegates IOS signature verification to VDS (CSCuy94691). VDS can be modified at runtime. IOS VM can be restarted from VDS without restarting the whole system. An attacker can install an unsigned IOS image, access VDS, modify the image verfication process and reboot the IOS VM form VDS. The unsigned IOS image successfully boots. This effectively bypasses Secure Boot. Remediation:VDS access should be either denied to IOS users or secured by deploying a secure unlock client solution.",Missing,Missing,Missing,Missing,nobug,"IR800: Secure Boot bypass via VDSMissingThis issue is critical. It is a secure boot bypass and allows the ability to run arbitrary code on the IR800.  See PoC enclosure.At boot time, Rommon2 delegates IOS signature verification to VDS (CSCuy94691). VDS can be modified at runtime. IOS VM can be restarted from VDS without restarting the whole system. An attacker can install an unsigned IOS image, access VDS, modify the image verfication process and reboot the IOS VM form VDS. The unsigned IOS image successfully boots. This effectively bypasses Secure Boot. Remediation:VDS access should be either denied to IOS users or secured by deploying a secure unlock client solution.MissingMissingMissingMissingnobug",ir secure boot bypass via vdsmissingthis issue critical secure boot bypass allow ability run arbitrary code ir see poc enclosure boot time rommon delegate ios signature verification vds cscuy vds modify runtime ios vm restart vds without restart whole system attacker install unsigned ios image access vds modify image verfication process reboot ios vm form vds unsigned ios image successfully boot effectively bypass secure boot remediation vds access either deny ios users secure deploy secure unlock client solution
